cod_id;poste_numero;na_fila_de_links
1047018902;1756;SIM
1496652680;383;SIM
1496652820;597;SIM
1496652853;620;NAO
1496652914;751;SIM
1496652915;666;SIM
1496653001;854;SIM
1496653010;799;SIM
1496653037;773;SIM
1496653240;701;SIM
1496653242;718;SIM
1496653268;803;SIM
1496653279;863;SIM
1496653285;920;SIM
1496653649;946;SIM
1496653651;961;SIM
1496653706;965;SIM
1496653707;1008;SIM
1496654046;441;SIM
1496656391;403;SIM
1496656397;916;SIM
1637186367;893;SIM
1684853981;3452;NAO
219088844;1274;SIM
219090082;304;SIM
219090086;281;SIM
219298047;535;SIM
219298050;615;SIM
219298056;163;SIM
219298062;320;SIM
219298069;789;SIM
219298070;1081;SIM
219298074;1355;SIM
219298078;301;SIM
219298085;1240;SIM
219298133;1602;SIM
219298134;1318;SIM
219298157;602;SIM
219298158;559;SIM
219298162;1398;SIM
219298163;1252;SIM
219298164;1410;SIM
219298165;1507;SIM
219298172;336;SIM
219298174;134;SIM
219298177;1536;SIM
219298184;1749;SIM
219298197;1894;SIM
219298199;1842;SIM
219298202;1171;NAO
219298203;1417;SIM
219298205;681;SIM
219298207;712;SIM
219298208;131;SIM
219298209;1562;SIM
219298217;808;SIM
219298218;921;SIM
219298221;1902;SIM
219298222;88;SIM
219298244;1308;SIM
219298247;3029;NAO
219298278;2562;NAO
219298283;2454;NAO
219298292;1051;SIM
219298296;1207;SIM
219298305;995;SIM
219298314;57;SIM
219298339;1854;SIM
219298342;2097;SIM
219298344;2035;SIM
219298348;1133;SIM
219298349;601;SIM
219298360;2197;SIM
219298372;1746;SIM
219298373;2254;SIM
219298377;1368;SIM
219298379;953;SIM
219298386;1048;SIM
219298393;1964;SIM
219298708;838;SIM
219298737;458;SIM
219298739;407;SIM
219298740;490;SIM
219298741;381;SIM
219298767;551;SIM
219298786;360;SIM
219298788;222;SIM
219298798;425;SIM
219384760;695;SIM
219384761;675;SIM
219384929;2798;NAO
219384968;558;SIM
219384971;369;SIM
219385014;318;SIM
219385242;753;SIM
219385251;692;SIM
219386127;605;SIM
219386224;411;SIM
219386225;377;SIM
219386226;442;SIM
219386231;506;SIM
219386235;400;SIM
219386635;13;SIM
219386636;14;SIM
219386653;34;SIM
219386689;1659;SIM
219386712;1673;SIM
219386836;19;SIM
219386837;8;SIM
219386839;70;SIM
219386840;77;SIM
219386841;265;SIM
219386842;359;SIM
219387212;410;SIM
219654654;339;SIM
219654655;93;SIM
219654656;181;SIM
219654657;87;SIM
219654658;145;SIM
219654660;649;SIM
219654661;450;SIM
219654662;296;SIM
219654663;254;SIM
219654785;183;SIM
219654787;54;SIM
219654825;1630;SIM
219745625;247;SIM
219916432;63;SIM
219991159;596;SIM
219991161;716;SIM
219991165;836;SIM
219991168;699;SIM
219991169;370;SIM
219991170;555;SIM
219991188;405;SIM
219991193;275;SIM
219991634;59;SIM
219991640;83;SIM
219991641;45;SIM
219991665;1369;SIM
219991666;114;SIM
219991668;231;SIM
219991696;1290;SIM
219991716;1215;SIM
219991733;79;SIM
219991734;36;SIM
219991739;2415;NAO
219991758;1267;SIM
219991759;678;SIM
219991772;2285;SIM
219991784;742;SIM
219991788;1625;SIM
219991790;1959;SIM
219991791;1775;SIM
219991803;350;SIM
219991805;433;SIM
219991810;568;SIM
219991811;344;SIM
219991824;1292;SIM
219991828;752;SIM
219991835;152;SIM
219991837;1071;SIM
219991859;772;SIM
219991891;719;SIM
219991897;1611;SIM
219991901;60;SIM
219991907;1545;SIM
219991908;1429;SIM
219991910;1374;SIM
219991911;1704;SIM
219991918;123;SIM
219991919;102;SIM
219991921;1210;SIM
219991922;1616;SIM
219991926;541;SIM
219991928;538;SIM
219991935;1773;SIM
219991938;1913;SIM
219991945;957;SIM
219991946;635;SIM
219991947;1166;SIM
219991948;1004;SIM
219991953;1655;SIM
219991954;1804;SIM
219991955;1356;SIM
219991956;268;SIM
219991957;115;SIM
219991960;1869;SIM
219991964;1937;SIM
219991970;873;SIM
219992413;2078;NAO
219992421;567;SIM
219992424;475;SIM
219992477;322;SIM
219992479;311;SIM
219992481;372;SIM
219992770;1023;SIM
219992817;537;SIM
219992818;934;SIM
219992906;3233;NAO
219993025;202;SIM
219993026;185;SIM
220081179;380;SIM
220081181;238;SIM
220081185;422;SIM
220247378;81;SIM
220247379;2;SIM
220247385;804;SIM
220247386;744;SIM
220247480;4;SIM
220247543;1647;SIM
220247547;1691;SIM
220247551;1119;SIM
220319553;1887;SIM
220559481;1028;SIM
220638855;367;SIM
220638856;459;SIM
220638860;323;SIM
220638861;144;SIM
220638862;385;SIM
220638863;160;SIM
220638864;499;SIM
220638865;533;SIM
220638982;170;SIM
220638987;55;SIM
220639657;310;SIM
220776877;1011;SIM
220780047;209;SIM
220780062;780;SIM
220780081;1255;SIM
220780105;1431;SIM
220780108;1505;SIM
220780109;1467;SIM
220780111;1758;SIM
220780112;1247;SIM
220780117;286;SIM
220780122;1763;SIM
220780132;1597;SIM
220780141;868;SIM
220780146;781;SIM
220780147;113;SIM
220780150;179;SIM
220780151;91;SIM
220780156;394;SIM
220780157;1725;SIM
220780160;1929;SIM
220780161;1778;SIM
220780172;1186;SIM
220780173;1065;SIM
220780175;1798;SIM
220780176;575;SIM
220780177;656;SIM
220780178;1427;SIM
220780179;162;SIM
220780180;107;SIM
220780181;1024;SIM
220780197;1932;SIM
220780198;1908;SIM
220780207;138;SIM
220780222;103;SIM
220780223;49;SIM
220780258;935;SIM
220780259;1366;SIM
220780281;987;SIM
220780282;1190;SIM
220780285;1116;SIM
220853308;891;SIM
220853309;1548;SIM
220853320;2057;SIM
220853322;2340;SIM
220853324;1675;SIM
220853325;1434;SIM
220853333;1653;SIM
220853334;50;SIM
220853336;97;SIM
220853350;766;SIM
220853351;1104;SIM
220853674;862;SIM
220853694;259;SIM
220853698;274;SIM
220853734;650;SIM
220853775;436;SIM
220854075;326;SIM
220854076;200;SIM
220854113;153;SIM
220854114;119;SIM
220854182;996;SIM
220854245;819;SIM
220855406;962;NAO
220855408;667;SIM
220855413;586;SIM
220855416;315;SIM
220855417;376;SIM
220855478;530;SIM
220857114;327;SIM
220857115;86;SIM
220857117;842;SIM
220857118;685;SIM
220857122;61;SIM
220857124;7;SIM
220857293;10;SIM
220930865;445;SIM
220930871;644;SIM
221094171;177;SIM
221094173;479;SIM
221094176;524;SIM
221371071;550;SIM
221528455;276;SIM
221528456;665;SIM
221528457;105;SIM
221528458;580;SIM
221528459;365;SIM
221528460;234;SIM
221528461;261;SIM
221528492;189;SIM
221528607;110;SIM
221528611;171;SIM
221529250;197;SIM
221621550;1330;SIM
221621551;1286;SIM
221621552;1430;SIM
221621580;853;SIM
221621582;756;SIM
221621583;721;SIM
221621584;282;SIM
221621629;1613;SIM
221621630;824;SIM
221621631;46;SIM
221621636;518;SIM
221621640;512;SIM
221621644;1540;SIM
221621646;1455;SIM
221621649;1708;SIM
221621656;1129;SIM
221621657;85;SIM
221621660;1487;SIM
221621667;1944;SIM
221621671;1779;SIM
221621687;39;SIM
221621692;1418;SIM
221621693;1499;SIM
221621699;205;SIM
221621700;1235;SIM
221621701;1131;SIM
221621702;1843;SIM
