cod_id,poste_numero,na_fila_de_links
1358664738,3713,NAO
1496652853,620,NAO
1684853981,3452,NAO
219090082,304,SIM
219090086,281,SIM
219298049,472,NAO
219298070,1081,SIM
219298157,602,SIM
219298164,1410,SIM
219298165,1507,SIM
219298197,1894,SIM
219298202,1171,NAO
219298203,1417,SIM
219298247,3029,NAO
219298278,2562,NAO
219298283,2454,NAO
219298314,57,SIM
219298767,551,SIM
219298786,360,SIM
219298788,222,SIM
219298798,425,SIM
219384929,2798,NAO
219384968,558,SIM
219384971,369,SIM
219385014,318,SIM
219385242,753,SIM
219385251,692,SIM
219386635,13,SIM
219386636,14,SIM
219386653,34,SIM
219386836,19,SIM
219386837,8,SIM
219386839,70,SIM
219386840,77,SIM
219386841,265,SIM
219386842,359,SIM
219387212,410,SIM
219745625,247,SIM
219991634,59,SIM
219991640,83,SIM
219991641,45,SIM
219991666,114,SIM
219991668,231,SIM
219991733,79,SIM
219991734,36,SIM
219991739,2415,NAO
219992413,2078,NAO
219992479,311,SIM
219992481,372,SIM
219992770,1023,SIM
219992817,537,SIM
219992818,934,SIM
219993025,202,SIM
219993026,185,SIM
220081179,380,SIM
220081181,238,SIM
220081185,422,SIM
220247378,81,SIM
220247379,2,SIM
220247385,804,SIM
220247386,744,SIM
220247480,4,SIM
220639657,310,SIM
220780207,138,SIM
220780222,103,SIM
220780223,49,SIM
220853336,97,SIM
220853694,259,SIM
220853698,274,SIM
220853734,650,SIM
220854075,326,SIM
220854076,200,SIM
220854113,153,SIM
220854114,119,SIM
220854182,996,SIM
220854245,819,SIM
220855406,962,SIM
220857114,327,SIM
220857115,86,SIM
220857117,842,SIM
220857118,685,SIM
220857122,61,SIM
220857124,7,SIM
220857293,10,SIM
220930865,445,SIM
221094171,177,SIM
221094173,479,SIM
221094176,524,SIM
221371071,550,SIM
221529250,197,SIM
221621718,69,SIM
221621725,290,SIM
221621755,47,SIM
221704100,289,SIM
221704202,229,SIM
221704410,250,SIM
221704432,771,SIM
221704434,630,SIM
221807160,11,SIM
221807360,297,SIM
221807361,1054,SIM
221807362,796,SIM
221807364,623,SIM
221807369,5,SIM
221807372,41,SIM
221807373,124,SIM
221807374,84,SIM
221889355,271,SIM
221891614,224,SIM
222073141,220,SIM
222494575,190,SIM
222494579,42,SIM
222494762,528,SIM
222494763,648,SIM
222494765,593,SIM
222494766,548,SIM
222495068,1097,SIM
222495069,1158,SIM
222495113,733,SIM
222495163,309,SIM
222495168,375,SIM
222495521,236,SIM
222733198,502,SIM
222733199,264,SIM
222733200,717,SIM
222733201,898,SIM
222733202,421,SIM
222733203,914,SIM
222733204,910,SIM
222733205,956,SIM
222733210,3,SIM
222733213,141,SIM
222733215,24,SIM
222733216,32,SIM
222733217,122,SIM
222733218,89,SIM
222733357,15,SIM
222733358,20,SIM
222886700,397,NAO
223116784,173,SIM
223116795,353,SIM
223116798,573,SIM
223255148,6,SIM
223255150,166,SIM
223255153,28,SIM
223255159,469,SIM
223255160,228,SIM
223255161,419,SIM
223255163,975,SIM
223255164,199,SIM
223255165,227,SIM
223255166,143,SIM
223255167,556,SIM
223255168,329,SIM
223255310,22,SIM
223255451,617,SIM
223326570,305,SIM
223326594,398,SIM
223390359,343,SIM
223390788,2563,NAO
223390936,477,SIM
223390937,462,SIM
223390939,201,SIM
223390944,349,SIM
223455588,269,SIM
223455601,65,SIM
223455759,1122,SIM
223455761,1118,SIM
223455766,1047,SIM
223455872,355,SIM
223455886,622,SIM
223455891,687,SIM
223637324,624,SIM
223977700,242,SIM
223977706,443,SIM
223977709,511,SIM
223977792,165,SIM
223977793,218,SIM
223977808,38,SIM
223978077,483,SIM
223978086,439,SIM
223978087,404,SIM
223978116,686,SIM
223978118,884,SIM
223978120,887,SIM
224102695,17,SIM
224102698,26,SIM
224102913,393,SIM
224102914,340,SIM
224102915,363,SIM
224102916,457,SIM
224102917,104,SIM
224102918,192,SIM
224102924,388,SIM
224102928,1,SIM
224102929,12,SIM
224219884,154,SIM
224219885,204,SIM
224219886,361,SIM
224219887,549,SIM
224292420,167,SIM
224292421,298,SIM
224292423,849,SIM
224292427,16,SIM
224292585,18,SIM
224292589,29,SIM
224318217,243,SIM
224318222,74,SIM
224318223,56,SIM
224318382,21,SIM
224357555,333,SIM
224357561,497,SIM
224357563,465,SIM
224357564,473,SIM
224357759,1151,SIM
224357787,133,SIM
224357788,164,SIM
224357789,150,SIM
224358040,523,SIM
224358041,371,SIM
224358115,867,SIM
224358117,561,SIM
224413417,454,SIM
224413418,416,SIM
2582969888,663,SIM
2582969890,589,SIM
2582969894,529,SIM
2650511978,208,SIM
2650511985,253,SIM
350236509,487,SIM
350236533,2515,NAO
350236545,1721,NAO
350236553,1518,NAO
350236571,1124,NAO
350236584,161,SIM
350236588,1311,NAO
350236589,1006,NAO
350236605,1222,NAO
350236609,334,SIM
350236610,2159,NAO
350236615,1699,NAO
350236635,1730,NAO
350236636,2707,NAO
350236640,2066,NAO
350236642,1400,NAO
350236645,3265,NAO
350236666,1914,NAO
350236667,2252,NAO
350236668,778,SIM
350236675,3006,NAO
350236676,262,SIM
350236687,3700,NAO
350236688,3743,NAO
350236699,2735,NAO
350236700,1351,NAO
350236704,2305,NAO
350236705,3505,NAO
350236708,577,NAO
350236709,456,NAO
350236720,3168,NAO
350236743,1500,NAO
350237766,2117,NAO
680339549,664,NAO
922742634,885,SIM
219298222,88,SIM
224387533,335,SIM
219992477,322,SIM
220853334,50,SIM
