linha_planilha;link_usado_por_mim;cod_id_usado;endereco;link_original_da_base_cod_id;precisa_confirmar;motivo
1;https://www.google.com/maps/@-19.6177934,-46.9286187,3a,90y,311.25h,124.81t/data=!3m7!1e1!3m5!1sZfnjpg41HAhDNWN9oMDHpQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-34.80938644057353%26panoid%3DZfnjpg41HAhDNWN9oMDHpQ%26yaw%3D311.2535981852416!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221529250;RUA DIVINO VELUZIANO DA SILVA 175, 175, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.617799063,-46.9285821585;SIM;confirmar - poste mais proximo (3.9m) tem 148 graus de diferenca de rumo, mas esta perto o suficiente pra ser so ruido de GPS
2;https://www.google.com/maps/@-19.6178003,-46.9289428,3a,48.9y,298.73h,106.26t/data=!3m7!1e1!3m5!1swE5ZGeyGDIQREhdzs_HJqg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.26034328367109%26panoid%3DwE5ZGeyGDIQREhdzs_HJqg%26yaw%3D298.7272432865741!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;222073141;RUA DIVINO VELUZIANO DA SILVA 155, 155, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6177857377,-46.928982445;;
3;https://www.google.com/maps/@-19.6177698,-46.9293342,3a,57.4y,304.39h,109.01t/data=!3m7!1e1!3m5!1snwqGb_gi3rNEWOqHF-c8Tw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-19.0128668403448%26panoid%3DnwqGb_gi3rNEWOqHF-c8Tw%26yaw%3D304.3878955340931!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;219745625;RUA DIVINO VELUZIANO DA SILVA 120, 120, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6177456963,-46.929344191;;
4;https://www.google.com/maps/@-19.6173898,-46.9293402,3a,75y,225.11h,108.96t/data=!3m7!1e1!3m5!1sD-wuQUyqx_1PRMmcgFm11Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-18.958132366614365%26panoid%3DD-wuQUyqx_1PRMmcgFm11Q%26yaw%3D225.11029084836278!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;220639657;RUA EDSON APARECIDO DE SOUZA 140, 140, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6174477968,-46.9293311283;SIM;confirmar - distancia (6.5m, 53 graus) e rumo (39.6m, 45 graus) nao concordam com confianca
5;https://www.google.com/maps/@-19.6171827,-46.929333,3a,73.4y,338.77h,119.11t/data=!3m7!1e1!3m5!1soMG1WaAmxYJOtCWrK9eUpw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-29.110769554932574%26panoid%3DoMG1WaAmxYJOtCWrK9eUpw%26yaw%3D338.76658136567664!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224219886;RUA EDSON APARECIDO DE SOUZA 155, 155, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.617149712,-46.929327505;;
6;https://www.google.com/maps/@-19.6171497,-46.9297902,3a,75y,13.05h,125.85t/data=!3m7!1e1!3m5!1siEBlSZjng0NsRJ5xrXeIJQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-35.84787951718599%26panoid%3DiEBlSZjng0NsRJ5xrXeIJQ%26yaw%3D13.053494475463442!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;220081179;RUA EDSON APARECIDO DE SOUZA 105, 105, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6171361934,-46.9297468606;;
7;https://www.google.com/maps/@-19.6168906,-46.929326,3a,46.9y,344.83h,108.96t/data=!3m7!1e1!3m5!1sxKoIa6Pf0yjQlZTmeCmzWQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-18.95997132191664%26panoid%3DxKoIa6Pf0yjQlZTmeCmzWQ%26yaw%3D344.8301256034641!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224413418;RUA VEREADOR JOSE ROSINHA 140, 140, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6168245279,-46.9293236729;;
8;https://www.google.com/maps/@-19.6164794,-46.9293047,3a,75y,259.28h,124.39t/data=!3m7!1e1!3m5!1s2QU9ntAP7qydv5gC5_o_yw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-34.387273305829964%26panoid%3D2QU9ntAP7qydv5gC5_o_yw%26yaw%3D259.2792334001357!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;221094173;RUA VEREADOR JOSE ROSINHA 140, 140, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6165175012,-46.9293199498;;
9;https://www.google.com/maps/@-19.6165538,-46.9290618,3a,43y,74.63h,97.47t/data=!3m7!1e1!3m5!1sxvsapZ6kR-qNXq1VJhX5sQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.471433946000175%26panoid%3DxvsapZ6kR-qNXq1VJhX5sQ%26yaw%3D74.62758773222707!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;224413417;RUA VEREADOR JOSE ROSINHA 180, 180, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.6165394815,-46.9289484677;;
10;https://www.google.com/maps/@-19.6165752,-46.9285848,3a,75y,3.31h,121.54t/data=!3m7!1e1!3m5!1s8wN9KjA3eRdW29fyNCJCOg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.clients6.google.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-31.53889944565141%26panoid%3D8wN9KjA3eRdW29fyNCJCOg%26yaw%3D3.3149581532608186!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D;220081185;RUA VEREADOR JOSE ROSINHA 210, 210, PRIMAVERAS;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-19.616561648,-46.9285674519;;
