idx,cod_id,endereco,dist_m,bearing_diff,flagged,nota,pasta,arquivo,pole_detect,watermark_hits,resultado,segundos,panoid,lat,lon,h
1,221529250,"RUA DIVINO VELUZIANO DA SILVA 175, 175, PRIMAVERAS",3.9,148.1,True,"confirmar - poste mais proximo (3.9m) tem 148 graus de diferenca de rumo, mas esta perto o suficiente pra ser so ruido de GPS",REVISAO_AUTOMATICA,"COD ID_221529250!! (confirmar - poste mais proximo (3.9m) tem 148 graus de diferenca de rumo, mas esta perto o suficiente pra ser so ruido de GPS).jpg",fallback_center,10750,OK,15.6,Zfnjpg41HAhDNWN9oMDHpQ,-19.6177934,-46.9286187,311.25
2,222073141,"RUA DIVINO VELUZIANO DA SILVA 155, 155, PRIMAVERAS",4.5,7.5,False,,,,,,JA_PROCESSADO_PULADO,,wE5ZGeyGDIQREhdzs_HJqg,-19.6178003,-46.9289428,298.73
3,219745625,"RUA DIVINO VELUZIANO DA SILVA 120, 120, PRIMAVERAS",2.9,34.3,False,,,,,,JA_PROCESSADO_PULADO,,nwqGb_gi3rNEWOqHF-c8Tw,-19.6177698,-46.9293342,304.39
4,220639657,"RUA EDSON APARECIDO DE SOUZA 140, 140, PRIMAVERAS",6.5,53.5,True,"confirmar - distancia (6.5m, 53 graus) e rumo (39.6m, 45 graus) nao concordam com confianca",REVISAO_AUTOMATICA,"COD ID_220639657!! (confirmar - distancia (6.5m, 53 graus) e rumo (39.6m, 45 graus) nao concordam com confianca).jpg",fallback_center,16133,OK,10.5,D-wuQUyqx_1PRMmcgFm11Q,-19.6173898,-46.9293402,225.11
5,224219886,"RUA EDSON APARECIDO DE SOUZA 155, 155, PRIMAVERAS",3.7,30.2,False,,,,,,JA_PROCESSADO_PULADO,,oMG1WaAmxYJOtCWrK9eUpw,-19.6171827,-46.929333,338.77
6,220081179,"RUA EDSON APARECIDO DE SOUZA 105, 105, PRIMAVERAS",4.8,58.7,False,,,,,,JA_PROCESSADO_PULADO,,iEBlSZjng0NsRJ5xrXeIJQ,-19.6171497,-46.9297902,13.05
7,224413418,"RUA VEREADOR JOSE ROSINHA 140, 140, PRIMAVERAS",7.4,17.0,False,,,,,,JA_PROCESSADO_PULADO,,xKoIa6Pf0yjQlZTmeCmzWQ,-19.6168906,-46.929326,344.83
8,221094173,"RUA VEREADOR JOSE ROSINHA 140, 140, PRIMAVERAS",4.5,58.6,False,,,,,,JA_PROCESSADO_PULADO,,2QU9ntAP7qydv5gC5_o_yw,-19.6164794,-46.9293047,259.28
9,224413417,"RUA VEREADOR JOSE ROSINHA 180, 180, PRIMAVERAS",12.0,7.7,False,,,,,,JA_PROCESSADO_PULADO,,xvsapZ6kR-qNXq1VJhX5sQ,-19.6165538,-46.9290618,74.63
10,220081185,"RUA VEREADOR JOSE ROSINHA 210, 210, PRIMAVERAS",2.4,47.0,False,,,,,,JA_PROCESSADO_PULADO,,8wN9KjA3eRdW29fyNCJCOg,-19.6165752,-46.9285848,3.31
11,223326594,"RUA VEREADOR JOSE ROSINHA 255, 255, PRIMAVERAS",5.6,30.5,False,,,,,,JA_PROCESSADO_PULADO,,QMb-ziRnr_kTTEOhqcsIJg,-19.6166173,-46.9281964,2.47
