cod_id,tipo,endereco,confianca,resultado,pasta,twin_edge,wire_count,hint_bearing,yaw,offset_centro_pct,watermark_hits,segundos
219298049,esquina,"RUA MARECHAL DEODORO 375, 375, CENTRO",baixa_confianca,OK_VERIFICAR_CENTRALIZACAO,BAIXA_CONFIANCA,False,0,317.7,325.7,,166718,17.2
219298157,esquina,"RUA JOAQUIM ANTONIO DUTRA 630, 630, CENTRO",ok,OK,ESQUINA,False,4,34.0,90.0,3.2,131843,24.1
219298164,esquina,"RUA GERALDA DETONI 545, 545, SANTA LUZIA",ok,OK,ESQUINA,True,5,128.7,111.7,-0.7,391483,35.4
219298165,esquina,"RUA MARCELINA CARDOSO 230, 230, SANTA LUZIA",ok,OK_VERIFICAR_CENTRALIZACAO,ESQUINA,True,5,74.7,28.7,-6.5,335850,35.7
219298197,esquina,"RUA PAUL HARRIS 511, 511, JOAO RIBEIRO",ok,OK,ESQUINA,True,9,90.5,77.5,-0.4,42299,20.4
219298202,esquina,"RUA FUNCIONARIO JOAO ROSA 125, 125, CENTRO",ok,OK,ESQUINA,True,6,62.4,71.4,-2.4,409352,28.9
219298203,esquina,"TRAVESSA DEZ 295, 295, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,ESQUINA,True,5,100.4,118.4,-45.0,16173,10.7
219298247,esquina,"AVENIDA IMBIARA 754, 754, JOAO RIBEIRO",ok,OK_VERIFICAR_CENTRALIZACAO,ESQUINA,True,4,258.8,275.8,6.1,11156,13.7
219298278,esquina,"AVENIDA PREFEITO ARACELY DE PAULA 1514, 1514, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,ESQUINA,False,6,137.2,142.2,-6.1,30867,11.8
219298283,esquina,"RUA HEITOR MONTANDON 113, 113, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,ESQUINA,True,4,35.9,57.9,17.6,15094,11.1
350236584,regular,"RUA JOAQUIM ANTONIO DUTRA 30, 30, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,True,5,260.9,268.9,12.1,241373,14.4
350236545,regular,"RUA LIMIRIO AFONSO 160, 160, CENTRO",ok,OK,POSTES UTILIZADOS,True,6,190.5,154.5,-1.8,230188,14.9
350236699,regular,"AVENIDA IMBIARA 387, 387, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,True,8,100.6,129.6,9.7,398108,15.2
350236743,regular,"RUA DONA ADELIA LELIS 230, 230, FERTIZA",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,False,13,210.2,238.2,-9.7,102051,11.3
350236666,regular,"RUA JOSE RIBEIRO 435, 435, PADRE ALAOR",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,False,5,16.3,324.3,-41.9,80608,12.4
1358664738,regular,"RUA CALIMERIO GUIMARAES 1485, 1485, DOUTOR PEDRO PEZZUTI",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,False,3,55.1,1.1,22.6,318932,14.4
1684853981,regular,"AVENIDA GETULIO VARGAS 675, 675, CENTRO",ok,OK,POSTES UTILIZADOS,True,3,281.3,323.3,0.6,128368,12.5
350236605,regular,"RUA ODILON DE BRITO 110, 110, JOSE FERREIRA GUIMARAES",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,False,3,232.5,228.5,25.6,339299,14.0
350236687,regular,"AVENIDA GETULIO VARGAS 1021, 1021, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,False,4,360.0,360.0,45.0,217254,13.7
350236576,regular,"RUA DAS CAMELIAS 17, 17, ANDREA",,SEM_COBERTURA_OU_SEM_POSICAO,,,,,,,,
350236533,regular,"RUA PRESIDENTE OLEGARIO MACIEL 404, 404, CENTRO",ok,OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,True,3,280.0,264.0,-14.2,133856,11.1
