cod_id,tipo,endereco,resultado,pasta,yaw,offset_centro_pct,watermark_hits,segundos
219298049,esquina,"RUA MARECHAL DEODORO 375, 375, CENTRO",OK,ESQUINA,54.0,-0.1,166718,29.5
219298157,esquina,"RUA JOAQUIM ANTONIO DUTRA 630, 630, CENTRO",OK_VERIFICAR_CENTRALIZACAO,ESQUINA,48.0,19.2,131843,26.2
219298164,esquina,"RUA GERALDA DETONI 545, 545, SANTA LUZIA",OK,ESQUINA,136.0,-0.1,391483,35.7
219298165,esquina,"RUA MARCELINA CARDOSO 230, 230, SANTA LUZIA",OK,ESQUINA,22.0,-0.7,335850,18.5
219298197,esquina,"RUA PAUL HARRIS 511, 511, JOAO RIBEIRO",OK,ESQUINA,70.0,0.0,42299,15.6
219298202,esquina,"RUA FUNCIONARIO JOAO ROSA 125, 125, CENTRO",OK,ESQUINA,125.0,0.4,409352,19.6
219298203,esquina,"TRAVESSA DEZ 295, 295, CENTRO",OK,ESQUINA,255.0,-3.5,16173,13.1
219298247,esquina,"AVENIDA IMBIARA 754, 754, JOAO RIBEIRO",OK,ESQUINA,287.0,0.7,11156,11.4
219298278,esquina,"AVENIDA PREFEITO ARACELY DE PAULA 1514, 1514, CENTRO",OK,ESQUINA,357.0,-3.1,30867,11.5
219298283,esquina,"RUA HEITOR MONTANDON 113, 113, CENTRO",OK,ESQUINA,158.0,0.0,15094,10.9
350236584,regular,"RUA JOAQUIM ANTONIO DUTRA 30, 30, CENTRO",OK,POSTES UTILIZADOS,236.0,2.1,241373,14.3
350236545,regular,"RUA LIMIRIO AFONSO 160, 160, CENTRO",OK,POSTES UTILIZADOS,60.0,4.4,230188,13.1
350236699,regular,"AVENIDA IMBIARA 387, 387, CENTRO",OK,POSTES UTILIZADOS,269.0,0.0,398108,15.9
350236743,regular,"RUA DONA ADELIA LELIS 230, 230, FERTIZA",OK,POSTES UTILIZADOS,274.0,0.8,102051,12.4
350236666,regular,"RUA JOSE RIBEIRO 435, 435, PADRE ALAOR",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,270,,80608,22.7
1358664738,regular,"RUA CALIMERIO GUIMARAES 1485, 1485, DOUTOR PEDRO PEZZUTI",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,33.0,-9.9,318932,21.5
1684853981,regular,"AVENIDA GETULIO VARGAS 675, 675, CENTRO",OK,POSTES UTILIZADOS,333.0,0.0,128368,14.8
350236605,regular,"RUA ODILON DE BRITO 110, 110, JOSE FERREIRA GUIMARAES",OK,POSTES UTILIZADOS,85.0,-1.0,339299,19.3
350236687,regular,"AVENIDA GETULIO VARGAS 1021, 1021, CENTRO",OK,POSTES UTILIZADOS,94.0,-3.5,217254,13.6
350236576,regular,"RUA DAS CAMELIAS 17, 17, ANDREA",SEM_COBERTURA_STREETVIEW,,,,,
350236533,regular,"RUA PRESIDENTE OLEGARIO MACIEL 404, 404, CENTRO",OK,POSTES UTILIZADOS,255.0,-2.8,133856,16.0
