cod_id,tipo,endereco,resultado,pasta,hint_bearing,yaw,offset_centro_pct,watermark_hits,segundos
219298049,esquina,"RUA MARECHAL DEODORO 375, 375, CENTRO",OK_VERIFICAR_CENTRALIZACAO,ESQUINA,317.7,325.7,,166718,11.8
219298157,esquina,"RUA JOAQUIM ANTONIO DUTRA 630, 630, CENTRO",OK,ESQUINA,34.0,89.0,3.5,131843,13.3
219298164,esquina,"RUA GERALDA DETONI 545, 545, SANTA LUZIA",OK,ESQUINA,128.7,111.7,-0.7,391483,19.3
219298165,esquina,"RUA MARCELINA CARDOSO 230, 230, SANTA LUZIA",OK,ESQUINA,74.7,26.7,-5.0,335850,17.3
219298197,esquina,"RUA PAUL HARRIS 511, 511, JOAO RIBEIRO",OK,ESQUINA,90.5,72.5,-0.4,42299,12.8
219298202,esquina,"RUA FUNCIONARIO JOAO ROSA 125, 125, CENTRO",OK,ESQUINA,62.4,72.4,-0.3,409352,15.1
219298203,esquina,"TRAVESSA DEZ 295, 295, CENTRO",OK_VERIFICAR_CENTRALIZACAO,ESQUINA,100.4,115.4,-8.8,16173,55.5
219298247,esquina,"AVENIDA IMBIARA 754, 754, JOAO RIBEIRO",OK,ESQUINA,258.8,276.8,-5.8,11156,51.7
219298278,esquina,"AVENIDA PREFEITO ARACELY DE PAULA 1514, 1514, CENTRO",OK_VERIFICAR_CENTRALIZACAO,ESQUINA,137.2,145.2,-8.8,30867,29.7
219298283,esquina,"RUA HEITOR MONTANDON 113, 113, CENTRO",OK_VERIFICAR_CENTRALIZACAO,ESQUINA,35.9,57.9,17.8,15094,11.8
350236584,regular,"RUA JOAQUIM ANTONIO DUTRA 30, 30, CENTRO",OK,POSTES UTILIZADOS,260.9,279.9,1.4,241373,16.1
350236545,regular,"RUA LIMIRIO AFONSO 160, 160, CENTRO",OK,POSTES UTILIZADOS,190.5,154.5,-1.5,230188,16.4
350236699,regular,"AVENIDA IMBIARA 387, 387, CENTRO",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,100.6,130.6,6.9,398108,24.2
350236743,regular,"RUA DONA ADELIA LELIS 230, 230, FERTIZA",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,210.2,228.2,-18.2,102051,13.4
350236666,regular,"RUA JOSE RIBEIRO 435, 435, PADRE ALAOR",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,16.3,324.3,-41.4,80608,11.4
1358664738,regular,"RUA CALIMERIO GUIMARAES 1485, 1485, DOUTOR PEDRO PEZZUTI",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,55.1,5.1,13.6,318932,21.3
1684853981,regular,"AVENIDA GETULIO VARGAS 675, 675, CENTRO",OK,POSTES UTILIZADOS,281.3,323.3,1.1,128368,17.3
350236605,regular,"RUA ODILON DE BRITO 110, 110, JOSE FERREIRA GUIMARAES",OK,POSTES UTILIZADOS,232.5,228.5,3.9,339299,33.3
350236687,regular,"AVENIDA GETULIO VARGAS 1021, 1021, CENTRO",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,360.0,2.0,-13.3,217254,33.8
350236576,regular,"RUA DAS CAMELIAS 17, 17, ANDREA",SEM_COBERTURA_OU_SEM_POSICAO,,,,,,
350236533,regular,"RUA PRESIDENTE OLEGARIO MACIEL 404, 404, CENTRO",OK_VERIFICAR_CENTRALIZACAO,POSTES UTILIZADOS,280.0,263.0,-12.5,133856,17.8
