cod_id,endereco,confianca,pasta,twin_edge,wire_count,hint_bearing,yaw,offset_centro_pct,watermark_hits,segundos,resultado
350236709,"RUA CLARA MARIA DE JESUS 175, 175, VEREDAS DA CIDADE",ok,REVISAO_AUTOMATICA,True,3,91.9,68.9,-12.5,349912,78.1,
350236615,"RUA CONEGO CASSIANO 267, 267, CENTRO",ok,REVISAO_AUTOMATICA,True,11,114.1,94.1,-0.3,181066,19.8,
350237766,"RUA EUSTOGIO PINHEIRO 139, 139, ESTANCIA",ok,REVISAO_AUTOMATICA,True,5,285.0,319.0,-47.5,145612,44.4,
350236553,"RUA RUA SELDA DE CASTRO ALVES 205, 205, FERTIZA",ok,REVISAO_AUTOMATICA,True,6,349.6,38.6,14.9,54585,48.7,
350236708,"RUA JOSE SORAGGI 165, 165, VEREDAS DA CIDADE",ok,REVISAO_AUTOMATICA,True,3,5.5,36.5,-7.1,278667,21.0,
350236635,"RUA JOSE JUSTINO CORNELIO 268, 268, ESTANCIA",baixa_confianca,BAIXA_CONFIANCA,False,12,219.6,263.6,3.9,115573,13.8,
350236688,"RUA PRESIDENTE OLEGARIO MACIEL 1290, 1290, SAO VICENTE",ok,REVISAO_AUTOMATICA,True,12,86.1,110.1,-0.7,40312,9.0,
350236700,"RUA TENENTE WANDERLEY MONTANDOM 10, 10, JOSE FERREIRA GUIMARAES",ok,REVISAO_AUTOMATICA,True,6,158.9,116.9,-6.1,124602,10.2,
350236588,"RUA RUA SELDA DE CASTRO ALVES 336, 336, FERTIZA",baixa_confianca,BAIXA_CONFIANCA,False,5,28.0,66.0,-4.4,74253,9.4,
350236675,"AVENIDA IMBIARA 651, 651, CENTRO",ok,REVISAO_AUTOMATICA,True,3,112.4,159.4,31.4,501566,13.3,
680339549,"RUA GASTAO SANTOS 235, 235, FERTIZA",ok,REVISAO_AUTOMATICA,True,9,2.6,322.6,-13.6,38988,9.4,
350236571,"RUA TENENTE WANDERLEY MONTANDOM 120, 120, JOSE FERREIRA GUIMARAES",ok,REVISAO_AUTOMATICA,True,8,202.9,219.9,40.4,439343,13.1,
